corpus	normalized_cite	n_citing_opinions	n_modern_citers	sample_oids
ndcc	N.D.C.C. § 61-21-02	2	0	8847,6932
ndcc	N.D.C.C. § 61-21-14	2	0	8851,8558
ndcc	N.D.C.C. § 10-19-04	2	0	8802,8385
ndcc	N.D.C.C. § 10-19-36	2	0	8802,6844
ndcc	N.D.C.C. § 14-12.1-08	2	0	8770,7324
ndcc	N.D.C.C. ch. 28-16	2	0	8712,12830
ndcc	N.D.C.C. § 15-38.1-10	2	0	8710,7984
ndcc	N.D.C.C. § 27-06-01	2	0	8615,6829
ndcc	N.D.C.C. ch. 12-44	2	0	8485,8252
ndcc	N.D.C.C. § 12-01-04	2	0	8526,7110
ndcc	N.D.C.C. ch. 57-23.1	2	0	8456,7730
ndcc	N.D.C.C. § 9-09-09	2	0	8412,7326
ndcc	N.D.C.C. § 16-08-04	2	0	8436,6557
ndcc	N.D.C.C. § 16-20-22	2	0	8436,7138
ndcc	N.D.C.C. ch. 16-15	2	0	8322,7138
ndcc	N.D.C.C. ch. 4-09	2	0	8335,18054
ndcc	N.D.C.C. ch. 57-33	2	0	8323,7634
ndcc	N.D.C.C. ch. 11-19	2	0	8276,6950
ndcc	N.D.C.C. § 33-01-04	2	0	8289,8112
ndcc	N.D.C.C. § 12-41-10	2	0	8254,6760
ndcc	N.D.C.C. § 25-09-02	2	0	8252,8076
ndcc	N.D.C.C. § 39-11-03	2	0	8201,6168
ndcc	N.D.C.C. § 45-09-04	2	0	8191,7422
ndcc	N.D.C.C. § 45-09-10	2	0	8191,7251
ndcc	N.D.C.C. § 45-09-02	2	0	8191,7251
ndcc	N.D.C.C. ch. 15-34	2	0	8137,7817
ndcc	N.D.C.C. § 26-03.1-03	2	0	8125,7952
ndcc	N.D.C.C. § 33-01-05	2	0	8112,7621
ndcc	N.D.C.C. § 26-07-14	2	0	8117,6916
ndcc	N.D.C.C. § 15-38.1-11	2	0	8109,7984
ndcc	N.D.C.C. ch. 15-47	2	0	8107,7065
ndcc	N.D.C.C. § 15-51-17	2	0	8107,6807
ndcc	N.D.C.C. § 26-28-03	2	0	8084,8008
ndcc	N.D.C.C. ch. 26-28	2	0	8084,8008
ndcc	N.D.C.C. ch. 29-24	2	0	8053,7796
ndcc	N.D.C.C. § 49-18-12	2	0	8083,7820
ndcc	N.D.C.C. § 27-14-02.1	2	0	8014,7932
ndcc	N.D.C.C. § 16-20-01	2	0	8020,7138
ndcc	N.D.C.C. ch. 30-10	2	0	8028,7943
ndcc	N.D.C.C. § 10-06-03	2	0	7989,7016
ndcc	N.D.C.C. § 10-06-06	2	0	7989,7016
ndcc	N.D.C.C. § 49-18-43	2	0	7975,6516
ndcc	N.D.C.C. § 16-18-14	2	0	7959,7632
ndcc	N.D.C.C. § 16-18-17	2	0	7959,7632
ndcc	N.D.C.C. § 16-11-11	2	0	7959,7632
ndcc	N.D.C.C. § 16-13-01	2	0	7959,7632
ndcc	N.D.C.C. § 16-01-17	2	0	7959,7632
ndcc	N.D.C.C. § 16-18-20	2	0	7959,7632
ndcc	N.D.C.C. § 30-21-20	2	0	7934,6721
ndcc	N.D.C.C. § 12-06-09	2	0	7938,7202
ndcc	N.D.C.C. ch. 4-12	2	0	7916,7373
ndcc	N.D.C.C. ch. 16-07	2	0	7801,7406
ndcc	N.D.C.C. § 16-20-17.2	2	0	7814,7031
ndcc	N.D.C.C. § 57-52-03	2	0	7790,6223
ndcc	N.D.C.C. ch. 57-50	2	0	7790,6223
ndcc	N.D.C.C. § 57-37-11	2	0	7790,7291
ndcc	N.D.C.C. § 32-36-08	2	0	7710,7709
ndcc	N.D.C.C. § 32-36-17	2	0	7710,7709
ndcc	N.D.C.C. § 29-32-04	2	0	7682,7609
ndcc	N.D.C.C. § 65-13-17	2	0	7681,7597
ndcc	N.D.C.C. § 39-17-04	2	0	7662,7003
ndcc	N.D.C.C. ch. 16-18	2	0	7632,7199
ndcc	N.D.C.C. § 23-02-40	2	0	7583,6950
ndcc	N.D.C.C. ch. 26-26	2	0	7594,6426
ndcc	N.D.C.C. ch. 26-27	2	0	7594,6426
ndcc	N.D.C.C. § 6-07-43	2	0	7555,7503
ndcc	N.D.C.C. § 62-01-02	2	0	7545,7202
ndcc	N.D.C.C. § 14-11-04	2	0	7548,6956
ndcc	N.D.C.C. § 57-37-19	2	0	7477,6377
ndcc	N.D.C.C. ch. 1-2	2	0	7479,6463
ndcc	N.D.C.C. § 12-02-04	2	0	7470,6819
ndcc	N.D.C.C. § 29-13-09	2	0	7470,7141
ndcc	N.D.C.C. ch. 29-11	2	0	7470,16726
ndcc	N.D.C.C. § 15-47-05	2	0	7445,6246
ndcc	N.D.C.C. § 12-26-04	2	0	7363,7001
ndcc	N.D.C.C. § 15-27-05	2	0	7359,6917
ndcc	N.D.C.C. ch. 78-19	2	0	7374,7319
ndcc	N.D.C.C. § 29-30-06	2	0	7268,6860
ndcc	N.D.C.C. § 29-14-01	2	0	7211,6662
ndcc	N.D.C.C. ch. 29-14	2	0	7211,6904
ndcc	N.D.C.C. § 20-08-03	2	0	7221,6351
ndcc	N.D.C.C. § 10-06-04	2	0	7201,7016
ndcc	N.D.C.C. § 16-15-01.1	2	0	7138,6557
ndcc	N.D.C.C. § 12-30-01	2	0	7109,7073
ndcc	N.D.C.C. § 28-18-07	2	0	7105,6783
ndcc	N.D.C.C. § 15-40-26	2	0	7069,6286
ndcc	N.D.C.C. § 6-07-04	2	0	7064,7077
ndcc	N.D.C.C. § 14-12.1-27	2	0	7053,6908
ndcc	N.D.C.C. § 29-14-12	2	0	7026,6678
ndcc	N.D.C.C. ch. 4-10	2	0	6955,6399
ndcc	N.D.C.C. ch. 29-30	2	0	6920,6860
ndcc	N.D.C.C. § 32-08-06	2	0	6911,6584
ndcc	N.D.C.C. § 29-14-15	2	0	6904,6589
ndcc	N.D.C.C. § 32-24-04	2	0	6837,6140
ndcc	N.D.C.C. § 27-16-21	2	0	6820,6773
ndcc	N.D.C.C. ch. 10-16	2	0	6788,16157
ndcc	N.D.C.C. § 35-02-01	2	0	6825,6275
ndcc	N.D.C.C. ch. 57-40	2	0	6790,14021
ndcc	N.D.C.C. § 57-40-02	2	0	6790,6586
ndcc	N.D.C.C. § 29-11-42	2	0	6750,6380
ndcc	N.D.C.C. § 12-06-07	2	0	6719,6518
ndcc	N.D.C.C. § 26-02-04	2	0	6646,6244
ndcc	N.D.C.C. § 26-02-05	2	0	6646,6277
ndcc	N.D.C.C. § 52-09-20	2	0	6633,6475
ndcc	N.D.C.C. § 30-01-02	2	0	6595,6182
ndcc	N.D.C.C. § 49-18-07	2	0	6588,6568
ndcc	N.D.C.C. ch. 28-19	2	0	6585,10236
ndcc	N.D.C.C. § 40-51-10	2	0	6593,6291
ndcc	N.D.C.C. § 56-05-01	2	0	6463,6446
ndcc	N.D.C.C. § 27-07-39	2	0	6436,6164
ndcc	N.D.C.C. § 30-06-08	2	0	6434,6182
ndcc	N.D.C.C. § 35-12-21	2	0	6414,6272
ndcc	N.D.C.C. ch. 35-12	2	0	6414,13631
ndcc	N.D.C.C. ch. 86-12	2	0	6395,14146
ndcc	N.D.C.C. § 15-40-17	2	0	6332,6286
ndcc	N.D.C.C. § 30-26-06	2	0	6359,6164
ndcc	N.D.C.C. ch. 28-28	2	0	6276,13150
ndcc	N.D.C.C. ch. 15-40	2	0	6286,15783
ndcc	N.D.C.C. § 15-53-05	2	0	6225,6136
ndcc	N.D.C.C. § 15-53-13	2	0	6225,6136
ndcc	N.D.C.C. § 30-18-04	2	0	6222,6199
ndcc	N.D.C.C. ch. 12-17	2	0	15898,9402
ndcc	N.D.C.C. ch. 5-05	2	0	14831,9538
ndcc	N.D.C.C. ch. 59-03	2	0	11708,9130
ndcc	N.D.C.C. ch. 57-16	2	0	11409,8812
const	N.D. Const. art. XVI, § 203	1	0	9338
const	N.D. Const. art. IV, § 101	1	0	9018
const	N.D. Const. art. IV, § 33	1	0	8499
const	N.D. Const. art. IV, § 43	1	0	8459
const	N.D. Const. art. XXI, § 174	1	0	7625
const	N.D. Const. art. II, § 47	1	0	6717
rule	N.D.R.Ev. 472	1	0	11794
rule	N.D.R.Ev. 175	1	0	11638
rule	N.D.R.Ev. 1980	1	0	11462
rule	N.D.R.Civ.P. 73	1	0	11421
rule	N.D.R.Civ.P. 35.1	1	0	11265
rule	N.D.R.Ev. 1503	1	0	11196
rule	N.D.R.Ev. 0904	1	0	10634
rule	N.D.R.Civ.P. 58.1	1	0	10373
rule	N.D.R.Ev. 0104	1	0	10212
rule	N.D.R.Crim.P. 42.1	1	0	10015
rule	N.D.R.Crim.P. 06	1	0	10015
rule	N.D.R.Crim.P. 07	1	0	10015
rule	N.D.R.Ev. 209	1	0	9517
rule	N.D.R.Ev. 303	1	0	9434
rule	N.D.R.Crim.P. 53	1	0	9098
rule	N.D.R.Ev. 136	1	0	8337
rule	N.D.R.Civ.P. 05	1	0	7810
rule	N.D.R.Ev. 3301	1	0	11546
rule	N.D.R.Ev. 2732	1	0	7404
rule	N.D.R.Ev. 0112	1	0	7404
rule	N.D.R.Ev. 0401	1	0	3883
admin	N.D.A.C. § 75-02-01.1-15	1	0	12265
admin	N.D.A.C. § 75-02-11-13	1	0	12232
admin	N.D.A.C. § 75-02-11-14	1	0	12232
admin	N.D.A.C. § 75-02-11-02	1	0	12232
admin	N.D.A.C. § 75-02-11-25	1	0	12232
admin	N.D.A.C. § 75-02-11-18	1	0	12232
admin	N.D.A.C. § 75-02-11-24	1	0	12232
admin	N.D.A.C. § 75-02-11-16	1	0	12232
admin	N.D.A.C. § 12.1-17-01-12.1	1	0	12104
admin	N.D.A.C. § 45-05-08-01	1	0	12065
admin	N.D.A.C. § 2-19-03.1-36	1	0	11755
admin	N.D.A.C. § 59.5-03-04-02	1	0	11451
admin	N.D.A.C. § 59.5-03-04-01	1	0	11451
admin	N.D.A.C. § 45-10-01-06	1	0	11192
admin	N.D.A.C. § 75-02-04.1-03.4	1	0	11138
admin	N.D.A.C. § 75-02-04.1-09.9	1	0	11138
admin	N.D.A.C. § 75-02-04.1-13.10	1	0	11138
admin	N.D.A.C. § 52-01-01-17	1	0	10975
admin	N.D.A.C. § 40-05-01-29	1	0	10857
admin	N.D.A.C. § 75-02-01-05	1	0	10888
admin	N.D.A.C. § 39-08-04-39	1	0	10384
admin	N.D.A.C. § 10-06-02-01	1	0	10339
admin	N.D.A.C. § 50-03-03-05	1	0	10272
admin	N.D.A.C. § 50-03-03-03	1	0	10272
admin	N.D.A.C. § 75-01-01-01	1	0	10247
admin	N.D.A.C. § 67-02-02-02	1	0	10199
admin	N.D.A.C. § 75-02-01-13	1	0	10144
admin	N.D.A.C. § 75-02-07-01	1	0	10083
admin	N.D.A.C. ch. 75-02-07	1	0	10083
admin	N.D.A.C. § 75-02-07-04	1	0	10083
admin	N.D.A.C. § 75-02-07-05	1	0	10083
admin	N.D.A.C. § 75-02-04-07	1	0	10083
admin	N.D.A.C. § 75-02-08-16	1	0	10083
admin	N.D.A.C. § 25-45-08-02	1	0	10093
admin	N.D.A.C. § 54-03.1-11-04	1	0	9797
admin	N.D.A.C. § 54-03.1-01-05	1	0	9797
admin	N.D.A.C. § 54-03.1-06-02	1	0	9797
admin	N.D.A.C. § 54-03.1-07-02	1	0	9797
admin	N.D.A.C. § 28-29-04-28	1	0	9090
admin	N.D.A.C. § 69-04-01-18	1	0	8950
admin	N.D.A.C. § 75-02-01-12	1	0	8788
admin	N.D.A.C. § 4-02-04-10	1	0	8655
admin	N.D.A.C. § 4-02-04-11	1	0	8655
admin	N.D.A.C. § 51-19-02-14	1	0	8412
admin	N.D.A.C. § 12.1-27.1-12-10	1	0	8424
admin	N.D.A.C. § 27-20-02-10	1	0	8347
admin	N.D.A.C. § 36-01-01-01	1	0	8332
admin	N.D.A.C. § 36-02-01-04	1	0	8332
admin	N.D.A.C. § 75-02-01-14	1	0	8114
admin	N.D.A.C. § 75-02-01-04	1	0	8114
admin	N.D.A.C. § 31-11-05-24	1	0	8020
admin	N.D.A.C. § 59-01-09-59	1	0	8015
admin	N.D.A.C. § 3-24-17-03	1	0	7887
admin	N.D.A.C. § 3-50-24-15	1	0	7568
admin	N.D.A.C. § 23-19-02.1-02	1	0	7130
admin	N.D.A.C. § 57-39.2-04-19	1	0	6790
admin	N.D.A.C. § 31-11-05-23	1	0	6725
admin	N.D.A.C. § 52-10-01-52	1	0	6633
admin	N.D.A.C. § 57-02-08-15	1	0	6483
admin	N.D.A.C. § 12-01-07-12	1	0	6465
admin	N.D.A.C. § 54-23-02-54	1	0	6319
ndcc	N.D.C.C. § 43-16-36	1	0	12286
ndcc	N.D.C.C. § 45-10.1-07	1	0	12285
ndcc	N.D.C.C. § 45-10.1-31	1	0	12285
ndcc	N.D.C.C. § 59-04-17	1	0	12278
ndcc	N.D.C.C. § 45-06-03	1	0	12283
ndcc	N.D.C.C. § 14-12.1-10	1	0	12188
ndcc	N.D.C.C. ch. 30-4	1	0	12148
ndcc	N.D.C.C. § 57-27-03	1	0	12170
ndcc	N.D.C.C. § 59-03-03.1	1	0	12170
ndcc	N.D.C.C. § 15-59-10	1	0	12128
ndcc	N.D.C.C. ch. 34-4	1	0	12126
ndcc	N.D.C.C. § 57-04.2-03.3	1	0	12097
ndcc	N.D.C.C. ch. 84-1	1	0	12074
ndcc	N.D.C.C. § 27-07.1-15	1	0	12106
ndcc	N.D.C.C. ch. 15-27.2	1	0	12060
ndcc	N.D.C.C. § 32-29-01	1	0	12065
ndcc	N.D.C.C. § 54-23.2-02	1	0	12008
ndcc	N.D.C.C. § 54-23.2-04	1	0	12008
ndcc	N.D.C.C. ch. 23-26	1	0	12018
ndcc	N.D.C.C. § 23-06.4-11	1	0	11989
ndcc	N.D.C.C. § 14-12.1-11	1	0	12002
ndcc	N.D.C.C. § 14-12.1-14	1	0	12002
ndcc	N.D.C.C. § 14-12.1-18	1	0	12002
ndcc	N.D.C.C. § 14-12.1-40	1	0	12002
ndcc	N.D.C.C. § 14-12.1-03	1	0	12002
ndcc	N.D.C.C. ch. 44-1	1	0	11986
ndcc	N.D.C.C. ch. 33-07	1	0	11976
ndcc	N.D.C.C. § 27-07.1-06	1	0	11956
ndcc	N.D.C.C. ch. 4-04	1	0	11956
ndcc	N.D.C.C. § 23-17.2-11	1	0	11907
ndcc	N.D.C.C. § 28-01-15.1	1	0	11855
ndcc	N.D.C.C. § 27-07.1-21	1	0	11831
ndcc	N.D.C.C. ch. 14-1	1	0	11862
ndcc	N.D.C.C. § 10-24-25	1	0	11862
ndcc	N.D.C.C. ch. 20-1	1	0	11862
ndcc	N.D.C.C. § 30.1-08-03.3	1	0	11850
ndcc	N.D.C.C. § 30.1-08-09.5	1	0	11850
ndcc	N.D.C.C. ch. 66-1	1	0	11839
ndcc	N.D.C.C. ch. 75-2	1	0	11844
ndcc	N.D.C.C. § 12.1-31.2-01.1	1	0	11814
ndcc	N.D.C.C. ch. 29-31	1	0	11768
ndcc	N.D.C.C. § 10-27-18	1	0	11767
ndcc	N.D.C.C. § 28-04-05.2	1	0	11752
ndcc	N.D.C.C. § 4-02.1-01	1	0	11751
ndcc	N.D.C.C. § 4-02.1-13	1	0	11751
ndcc	N.D.C.C. ch. 32-1	1	0	11751
ndcc	N.D.C.C. § 31-11-06.1	1	0	11754
ndcc	N.D.C.C. ch. 3-16	1	0	11724
ndcc	N.D.C.C. § 15-27.3-04	1	0	11724
ndcc	N.D.C.C. § 15-27.3-06	1	0	11724
ndcc	N.D.C.C. § 15-27.3-08	1	0	11724
ndcc	N.D.C.C. § 15-27.3-07	1	0	11724
ndcc	N.D.C.C. § 15-27.6-11	1	0	11724
ndcc	N.D.C.C. ch. 41-19	1	0	11728
ndcc	N.D.C.C. § 27-20-32	1	0	11715
ndcc	N.D.C.C. § 28-04-01.1	1	0	11720
ndcc	N.D.C.C. § 45-08-05	1	0	11684
ndcc	N.D.C.C. § 15-67-06	1	0	11673
ndcc	N.D.C.C. § 14-09-06.12	1	0	11655
ndcc	N.D.C.C. § 14-14-10	1	0	11655
ndcc	N.D.C.C. § 32-09.1-14.2	1	0	11653
ndcc	N.D.C.C. ch. 4-0	1	0	11658
ndcc	N.D.C.C. § 16.1-08-03	1	0	11643
ndcc	N.D.C.C. § 13-02-09	1	0	11640
ndcc	N.D.C.C. § 5-01-02.1	1	0	11630
ndcc	N.D.C.C. § 2-23-02	1	0	11632
ndcc	N.D.C.C. § 48-02-12	1	0	11631
ndcc	N.D.C.C. ch. 89-32	1	0	11626
ndcc	N.D.C.C. § 27-07.1-18	1	0	11607
ndcc	N.D.C.C. § 24-06-28.4	1	0	11567
ndcc	N.D.C.C. § 32-12-1.15	1	0	11573
ndcc	N.D.C.C. § 26-08-01	1	0	11573
ndcc	N.D.C.C. § 41-03-72	1	0	11575
ndcc	N.D.C.C. § 34-02-04.3	1	0	11531
ndcc	N.D.C.C. § 34-02-03.5	1	0	11531
ndcc	N.D.C.C. § 37-19.1-02.1	1	0	11539
ndcc	N.D.C.C. ch. 15-44	1	0	11577
ndcc	N.D.C.C. § 15-40.1-15	1	0	11577
ndcc	N.D.C.C. § 15-40.1-13	1	0	11577
ndcc	N.D.C.C. § 15-41-06	1	0	11577
ndcc	N.D.C.C. § 15-45-02	1	0	11577
ndcc	N.D.C.C. ch. 62-18	1	0	11577
ndcc	N.D.C.C. ch. 62-10	1	0	11577
ndcc	N.D.C.C. ch. 62-90	1	0	11577
ndcc	N.D.C.C. ch. 62-95	1	0	11577
ndcc	N.D.C.C. § 32-3.2-06	1	0	11522
ndcc	N.D.C.C. § 27-06-05	1	0	11518
ndcc	N.D.C.C. § 12-51-02	1	0	11506
ndcc	N.D.C.C. § 12-51-01	1	0	11506
ndcc	N.D.C.C. § 12-51-04	1	0	11506
ndcc	N.D.C.C. § 12-51-05	1	0	11506
ndcc	N.D.C.C. § 12-51-06	1	0	11506
ndcc	N.D.C.C. § 1-01-09.2	1	0	11488
ndcc	N.D.C.C. § 14-02.4-01.1	1	0	11457
ndcc	N.D.C.C. ch. 33-18	1	0	11455
ndcc	N.D.C.C. § 14-14-22	1	0	11454
ndcc	N.D.C.C. § 61-21-62.2	1	0	11480
ndcc	N.D.C.C. § 61-21-62	1	0	11480
ndcc	N.D.C.C. § 61-21-16.5	1	0	11480
ndcc	N.D.C.C. § 61-21-21	1	0	11480
ndcc	N.D.C.C. § 61-21-22	1	0	11480
ndcc	N.D.C.C. ch. 91-4	1	0	11477
ndcc	N.D.C.C. § 53-39.2-04	1	0	11420
ndcc	N.D.C.C. ch. 28-07	1	0	11371
ndcc	N.D.C.C. § 36-09-20	1	0	11382
ndcc	N.D.C.C. § 36-09-19	1	0	11382
ndcc	N.D.C.C. § 25-03.1-17.1	1	0	11373
ndcc	N.D.C.C. § 15-38.1-03	1	0	11362
ndcc	N.D.C.C. § 41-03-80.7	1	0	11421
ndcc	N.D.C.C. § 59-02-10	1	0	11413
ndcc	N.D.C.C. § 54-42-06	1	0	11352
ndcc	N.D.C.C. ch. 54-42	1	0	11352
ndcc	N.D.C.C. § 54-42-03	1	0	11352
ndcc	N.D.C.C. § 32-29.2-13	1	0	11340
ndcc	N.D.C.C. ch. 95-1	1	0	11354
ndcc	N.D.C.C. ch. 41-6	1	0	11354
ndcc	N.D.C.C. § 47-09-09.5	1	0	11336
ndcc	N.D.C.C. § 35-17-01.1	1	0	11333
ndcc	N.D.C.C. § 14-09-09.191	1	0	11301
ndcc	N.D.C.C. § 14-09-09.202	1	0	11301
ndcc	N.D.C.C. § 14-08.1-05.4	1	0	11299
ndcc	N.D.C.C. § 29-20-35	1	0	11299
ndcc	N.D.C.C. ch. 27-18	1	0	11288
ndcc	N.D.C.C. § 32-29.2-1	1	0	11255
ndcc	N.D.C.C. § 34-12.1-04	1	0	11246
ndcc	N.D.C.C. § 30.1-33-02	1	0	11225
ndcc	N.D.C.C. ch. 15-59.3	1	0	11237
ndcc	N.D.C.C. § 15-59-02.1	1	0	11237
ndcc	N.D.C.C. § 15-59-07.2	1	0	11237
ndcc	N.D.C.C. § 15-59.3-03	1	0	11237
ndcc	N.D.C.C. § 15-59.3-02	1	0	11237
ndcc	N.D.C.C. § 15-59.3-01	1	0	11237
ndcc	N.D.C.C. § 57-1.1-01	1	0	11198
ndcc	N.D.C.C. § 20-06-15	1	0	11197
ndcc	N.D.C.C. § 32-08-12	1	0	11193
ndcc	N.D.C.C. § 60-02-22	1	0	11188
ndcc	N.D.C.C. § 65-05-09.22	1	0	11134
ndcc	N.D.C.C. § 59-04.1-05	1	0	11123
ndcc	N.D.C.C. § 30.1-13-02.9	1	0	11108
ndcc	N.D.C.C. § 36-04-03	1	0	11103
ndcc	N.D.C.C. ch. 36-04	1	0	11103
ndcc	N.D.C.C. § 36-04-05	1	0	11103
ndcc	N.D.C.C. § 36-04-04	1	0	11103
ndcc	N.D.C.C. § 36-04-10	1	0	11103
ndcc	N.D.C.C. § 36-04-21	1	0	11103
ndcc	N.D.C.C. § 25-01.12-17	1	0	11106
ndcc	N.D.C.C. § 32-12-02.1	1	0	11074
ndcc	N.D.C.C. § 5-14-09	1	0	11037
ndcc	N.D.C.C. § 32-03-10.5	1	0	11073
ndcc	N.D.C.C. § 33-01-07	1	0	11071
ndcc	N.D.C.C. § 35-04-05	1	0	10970
ndcc	N.D.C.C. § 32-13-03.2	1	0	10982
ndcc	N.D.C.C. § 27-20-16	1	0	10936
ndcc	N.D.C.C. § 57-24-03	1	0	10951
ndcc	N.D.C.C. § 57-24-15	1	0	10951
ndcc	N.D.C.C. § 24-01-1.1	1	0	10923
ndcc	N.D.C.C. § 29-06-15.5	1	0	10918
ndcc	N.D.C.C. § 29-28-07.3	1	0	10917
ndcc	N.D.C.C. § 23-07.3-01	1	0	10901
ndcc	N.D.C.C. § 32-23-09.1	1	0	10871
ndcc	N.D.C.C. ch. 57-40.21	1	0	10889
ndcc	N.D.C.C. § 45-05-01	1	0	10832
ndcc	N.D.C.C. § 45-05-03	1	0	10832
ndcc	N.D.C.C. § 45-05-02	1	0	10832
ndcc	N.D.C.C. ch. 83-5	1	0	10823
ndcc	N.D.C.C. § 28-14-29	1	0	10774
ndcc	N.D.C.C. § 27-07.1-23	1	0	10755
ndcc	N.D.C.C. § 26.1-42-12	1	0	10741
ndcc	N.D.C.C. § 13-03.1-16	1	0	10721
