nw_cite	date_filed	case_name	docket	nd_cite	oid
69 N.W.2d 272	1955-03-07	State v. Tjaden	255		14143
69 N.W.2d 739	1954-12-18	Gunsch v. Gunsch	7397		14147
69 N.W.2d 777	1955-04-01	Schaff v. Kennelly	7499		14148
69 N.W.2d 783	1955-04-18	Mousel v. Widicker	7458		14149
70 N.W.2d 37	1955-04-21	Robbins v. Robbins	7508		14291
70 N.W.2d 907	1955-06-07	Shong v. Farmers' & Merchants' State Bank, Inc.	7494		14297
71 N.W.2d 47	1955-05-11	Hogue v. Bourgois	7469		14432
71 N.W.2d 332	1955-07-02	Fedorenko v. Rudman	7495		14428
71 N.W.2d 339	1955-07-08	Imus v. Huber	7480		14429
71 N.W.2d 558	1955-07-26	Estate of Kaspari	7501		14436
71 N.W.2d 675	1955-08-03	State v. Amerada Petroleum Corporation	7468		14440
71 N.W.2d 759	1955-06-30	Rettler v. Ebreck	7401, 7402		14444
72 N.W.2d 220	1955-09-23	Bender v. Bender	7534		14590
72 N.W.2d 650	1955-10-26	Killmer v. Duchscherer	7471		14597
72 N.W.2d 799	1955-10-11	Anderson v. Blixt	7505		14598
73 N.W.2d 135	1955-11-21	State v. Hanson	Cr. 265		14723
73 N.W.2d 140	1955-10-10	Syrup v. Pitcher	7431		14724
73 N.W.2d 348	1955-09-23	Northern Pacific Railway Co. v. City of Grand Forks	7446		14727
73 N.W.2d 355	1955-10-25	Wittrock v. Weisz	7497		14728
73 N.W.2d 436	1955-12-05	Frandson v. Casey	7523		14729
74 N.W.2d 361	1955-12-05	Geier v. Tjaden	7457		14820
74 N.W.2d 497	1955-12-19	Northwestern Improvement Company v. Norris	7549		14825
74 N.W.2d 826	1956-02-03	Neset v. Rudman	7563		14828
75 N.W.2d 172	1956-01-17	Kessler v. Thompson	7541		14975
75 N.W.2d 319	1956-02-17	Compson v. Olson	7485		14979
75 N.W.2d 516	1956-03-05	King v. Menz	7522		14981
76 N.W.2d 124	1956-03-22	Tice v. Mandel	7558		15117
76 N.W.2d 145	1956-03-06	McGee v. STOKES'HEIRS AT LAW	7553		15119
76 N.W.2d 171	1956-03-29	Kuhn v. North Dakota Public Service Commission	7531		15122
77 N.W.2d 522	1956-04-20	Marsden v. O'Callaghan	7538		15235
77 N.W.2d 882	1956-07-13	Bilby v. Wire	7582		15243
78 N.W.2d 395	1956-07-13	Thompson v. Thompson	7596		15376
78 N.W.2d 693	1956-09-28	Alfson v. Anderson	7606		15381
78 N.W.2d 705	1956-09-26	Northern Pacific Railway Co. v. Advance Realty Co.	7535		15382
79 N.W.2d 41	1956-10-26	Hamre v. Senger	7618		15522
79 N.W.2d 508	1956-09-27	Williams Electric Cooperative, Inc. v. Montana-Dakota Utilities Co.	7584		15524
79 N.W.2d 528	1956-09-27	State v. Whiteman	Cr. 271		15525
80 N.W.2d 87	1956-12-19	Medical Properties, Inc. v. North Dakota Board of Pharmacy	7609		15681
80 N.W.2d 92	1956-12-14	Brown v. Otesa	7610		15682
80 N.W.2d 535	1956-12-14	Raszler v. Raszler	7599		15672
80 N.W.2d 541	1957-01-18	Montana-Dakota Utilities Company v. Culver	7648		15673
80 N.W.2d 548	1956-12-19	Goetz v. Gunsch	7635		15674
80 N.W.2d 665	1957-01-29	Iszler v. Jorda	7530		15676
81 N.W.2d 628	1957-01-28	Montana-Dakota Utilities Co. v. Amann	7636		15775
81 N.W.2d 745	1957-03-18	Woodside v. Lee	7560		15778
82 N.W.2d 603	1957-04-09	Little v. Burleigh County	7569		15895
83 N.W.2d 416	1957-05-13	Schweitzer ex rel. Schweitzer v. Anderson	7565, 7566		16023
83 N.W.2d 889	1957-07-09	Goulet v. O'KEEFFE	7601		16028
84 N.W.2d 302	1957-07-26	Pauly v. Haas	7688		16146
84 N.W.2d 587	1957-08-10	Wagner v. Erickson	7667		16153
84 N.W.2d 702	1957-08-09	Nicola v. Meisner	7632		16154
85 N.W.2d 211	1957-10-08	Johnson v. Johnson	7574		16313
85 N.W.2d 240	1957-07-26	State v. Jager	Cr. 263, 274		16314
85 N.W.2d 432	1957-10-14	Vermillion v. Spotted Elk	7664		16320
85 N.W.2d 568	1957-10-14	Glock v. Hillestad	7702		16325
85 N.W.2d 676	1957-10-28	Lund ex rel. Lund v. Knoff	7714		16326
85 N.W.2d 745	1957-10-18	Stokes v. Dailey	7692		16328
86 N.W.2d 36	1957-10-28	MacMaster v. Onstad	7666		16423
86 N.W.2d 44	1957-11-15	Lemer v. Koble	7717		16425
86 N.W.2d 635	1957-08-29	Hart v. Bye	7701		16430
86 N.W.2d 647	1957-12-09	Johnson v. Johnson	7705		16433
86 N.W.2d 741	1957-12-14	Quam ex rel. Quam v. Wengert	7650		16434
87 N.W.2d 337	1957-12-20	State ex rel. Burgum v. Hooker	7680		16583
87 N.W.2d 743	1958-01-30	Kessler v. Board of Education of City of Fessenden	7730		16595
87 N.W.2d 888	1958-02-13	Lake v. Neubauer	7712		16596
88 N.W.2d 98	1958-02-13	Berger v. Berger	7742		16728
88 N.W.2d 626	1958-01-29	State v. Hefta	Cr. 280		16726
88 N.W.2d 825	1958-03-18	Conklin v. North American Life & Casualty Co.	7698		16727
89 N.W.2d 1	1958-03-18	Henke v. Peyerl	7746		16844
89 N.W.2d 881	1958-04-28	Green v. Whipple	7747		16850
91 N.W.2d 1	1958-06-23	Feather v. Krause			17142
91 N.W.2d 186	1958-05-29	Eisenbarth v. Eisenbarth			17143
91 N.W.2d 337	1958-07-23	State v. Jager	Cr. 284		17144
91 N.W.2d 627	1958-08-15	Spielman v. State	7763		17147
92 N.W.2d 65	1958-09-17	State ex rel. Schafer v. Gussner	7755		17302
92 N.W.2d 514	1958-09-29	Otter Tail Power Company v. Malme	7766		17301
92 N.W.2d 722	1958-10-30	Mills v. Roggensack	7776		17305
92 N.W.2d 777	1958-11-03	Van Sickle v. Olsen	7745		17308
93 N.W.2d 144	1958-11-20	Baldus v. Mattern	7775		17486
93 N.W.2d 807	1958-12-29	Aure v. MacKoff	7792		17496
94 N.W.2d 84	1958-12-23	In re Superior Service Company	7751		17616
94 N.W.2d 288	1958-12-29	Northern States Power Company v. Effertz	7733-7739		17609
94 N.W.2d 294	1958-12-18	Anderson v. Schreiner	7711		17610
94 N.W.2d 343	1959-01-12	North Dakota Society for Crippled Children & Adults v. Murphy	7794		17611
94 N.W.2d 502	1959-01-28	Salzseider v. Brunsdale	7728		17612
94 N.W.2d 506	1959-01-28	Olson v. Cass County Electric Co-Operative, Inc.	7770		17614
94 N.W.2d 657	1959-01-12	King v. Railway Express Agency, Inc.	7774		17615
95 N.W.2d 65	1959-02-19	Smith v. Riedinger	7785		17713
95 N.W.2d 904	1959-04-06	Long v. People's Department Store	7748		17715
96 N.W.2d 233	1959-04-24	Mischel v. Vogel	7822		17816
97 N.W.2d 676	1959-07-10	Stokes v. Dailey	7825		17959
97 N.W.2d 686	1959-07-08	Lindsay v. Teamsters Union, Local No. 74	7802		17960
97 N.W.2d 844	1959-07-20	Dahl v. Dahl	7817		17961
98 N.W.2d 16	1959-07-20	Borstad v. La Roque	7806		18057
98 N.W.2d 27	1959-08-03	Payne v. AM Fruh Company	7752		18061
98 N.W.2d 217	1959-06-20	Erdahl v. Hegg	7760		18059
98 N.W.2d 224	1959-08-21	Ireland v. Charlesworth	7773		18060
98 N.W.2d 374	1959-09-29	Hughes Realty Company v. Breitbach	7837		18063
110 N.W.2d 184	1961-05-27	Estate of Ashbrook	7936		6164
162 N.W.2d 861	1968-11-14	Estate of Jensen	8497		6742
185 N.W.2d 487	1971-03-30	In re JV	Civ. No. 8694		6928
189 N.W.2d 644	1971-09-07	In re RY	Civ. No. 8688		6967
190 N.W.2d 27	1971-09-07	In re JZ	8712		6997
201 N.W.2d 118	1972-09-26	In re An	Civ. No. 8789		7118
239 N.W.2d 289	1976-02-25	In Interest of ML	Civ. No. 9155		7505
241 N.W.2d 546	1976-04-22	Interest of Rwb	Civ. No. 9185		7544
246 N.W.2d 892	1976-11-19	In Interest [Custody] of Dg	Civ. Nos. 9232, 9233		7603
254 N.W.2d 446	1977-07-26	Clw v. Mj	Civ. No. 9306		7710
259 N.W.2d 636	1977-11-10	Interest of Rds	Civ. No. 9363		7759
262 N.W.2d 719	1978-02-02	In Interest of RH	Civ. No. 9406		7812
267 N.W.2d 1	1978-05-17	In Interest of KP	Civ. No. 9444		7858
267 N.W.2d 807	1978-07-06	In Interest of TMM	Civ. No. 9430		7870
270 N.W.2d 321	1978-08-14	Matter of Cieminski	Civ. No. 9477		7911
274 N.W.2d 244	1979-01-08	In Interest of JKS	Civ. No. 9476		7957
277 N.W.2d 281	1979-03-15	In Interest of MMC	Civ. No. 9536		7995
283 N.W.2d 83	1979-07-13	In Interest of JA	Civ. No. 9491		8089
285 N.W.2d 558	1979-10-11	In Interest of MDJ	Civ. No. 9631		8106
287 N.W.2d 462	1980-01-10	In Interest of EB	Civ. No. 9649		8137
290 N.W.2d 675	1980-03-20	In Interest of SW	Civ. No. 9691		8182
294 N.W.2d 635	1980-06-26	In Interest of MN	Civ. No. 9743		8224
301 N.W.2d 380	1981-01-23	In Interest of ADL	Civ. No. 9831		8345
301 N.W.2d 636	1981-01-23	In Interest of PWN	Civ. No. 9828		8357
304 N.W.2d 412	1981-03-25	Claim of Bromley	Civ. No. 9878		8400
317 N.W.2d 391	1982-03-18	In Interest of DRJ	Civ. No. 10118		8619
318 N.W.2d 101	1982-04-01	EEE, INC. v. Hanson	Civ. Nos. 10032, 10046		8630
321 N.W.2d 468	1982-07-09	In Interest of RAS	Civ. No. 10111		8680
321 N.W.2d 491	1982-07-01	In Interest of JKS	Civ. No. 10126		8686
322 N.W.2d 465	1982-07-30	In Interest of JNR	Civ. Nos. 10129, 10145		8709
325 N.W.2d 654	1982-10-20	In Interest of DS	Civ. No. 10162		8748
333 N.W.2d 790	1983-05-12	VanRosendale v. VanRosendale	Civ. No. 10328		8869
347 N.W.2d 331	1984-03-29	Matter of Boschee	Civ. No. 10567		9101
351 N.W.2d 440	1984-07-11	In Interest of JS	Civ. No. 10606		9153
356 N.W.2d 88	1984-10-23	In Interest of JKS	Civ. No. 10605		9236
356 N.W.2d 889	1984-10-25	State v. Lawson	Cr. No. 1007		9235
356 N.W.2d 890	1984-10-26	First Federal Savings & Loan Ass'n of Bismark v. Scherle	Civ. No. 10706		9237
356 N.W.2d 897	1984-10-30	Calavera v. Vix	Civ. No. 10738		9240
356 N.W.2d 899	1984-10-30	State v. Ronngren	Cr. Nos. 1025, 1026		9242
363 N.W.2d 401	1985-03-07	In Interest of Palmer	Civ. No. 10914		9320
380 N.W.2d 646	1986-01-22	State v. Niska	Cr. No. 1123		9563
402 N.W.2d 912	1987-03-26	In Interest of RMB	Civ. No. 11267		9852
420 N.W.2d 325	1988-02-25	In Interest of KRAG	Civ. No. 870141		10081
431 N.W.2d 272	1988-11-08	In Interest of JDZ	Civ. No. 880031		10251
432 N.W.2d 876	1988-12-06	In Interest of JAL	Civ. No. 880112		10271
436 N.W.2d 558	1989-02-20	In Interest of LJ	Civ. No. 880001		10323
449 N.W.2d 574	1989-12-20	In Interest of MMS	Civ. No. 890123		10513
450 N.W.2d 771	1990-01-25	Disciplinary Action Against Larson	Civ. No. 890231		10555
458 N.W.2d 303	1990-07-03	In Interest of CKH	Civ. Nos. 890339, 890351		10666
462 N.W.2d 631	1990-11-13	In Interest of TJO	Civ. No. 900158		10759
470 N.W.2d 196	1991-05-07	In Interest of McMullen	Civ. No. 900266		10888
472 N.W.2d 914	1991-04-29	Disciplinary Board of the Supreme Court of the State v. Johnson	No. 910126		10931
477 N.W.2d 218	1991-11-12	Matter of Estate of Ambers	Civ. No. 910036		10994
484 N.W.2d 102	1992-04-21	Disciplinary Action Against Kaiser	Civ. No. 900393		11118
484 N.W.2d 110	1992-04-21	Disciplinary Action Against Britton	Civ. No. 910353		11120
485 N.W.2d 345	1992-05-05	Disciplinary Action Against Larson	Civ. No. 910344		11143
491 N.W.2d 703	1992-10-28	Disciplinary Action Against Anderson	920226, 920237, 920302, 920303, 920304, 920305, 920306, 920307 and 920308		11239
493 N.W.2d 680	1992-12-14	In Interest of MDN	Cr. No. 920121		11282
496 N.W.2d 566	1993-02-25	Matter of Estate of Rohrich	Civ. No. 920245		11330
500 N.W.2d 603	1993-05-26	In Interest of KS	Civ. No. 920279		11418
506 N.W.2d 368	1993-09-15	Bh v. Kd	Civ. No. 920383		11482
513 N.W.2d 892	1994-03-30	Ken by Shasky v. Rc	Civ. No. 930178		11617
515 N.W.2d 158	1994-04-20	Matter of Estate of Ketterling	Civ. No. 930208		11637
519 N.W.2d 15	1994-06-28	Matter of Guardianship of Nelson	Civ. No. 930316		11686
525 N.W.2d 672	1994-12-20	In Interest of DR	Civ. No. 940124		11812
527 N.W.2d 270	1995-02-08	Matter of Dosch	Civ. Nos. 940310 to 940315		11836
527 N.W.2d 274	1995-02-08	Matter of Bailey	Civ. Nos. 940360, 940361, 940396 and 940397		11838
532 N.W.2d 59	1995-05-17	Conkins v. Steffan	Civ. No. 940328		11924
532 N.W.2d 381	1995-06-01	In Interest of Cm	Civ. No. 940287		11919
532 N.W.2d 653	1995-05-31	Matter of Adoption of JSPL	Civ. No. 940243		11927
533 N.W.2d 691	1995-06-27	Disciplinary Action Against Rau	Civ. Nos. 940185, 940188		11938
534 N.W.2d 816	1995-07-27	Disciplinary Action Against Grenz	Civ. No. 950026		11956
536 N.W.2d 354	1995-08-18	In re Disciplinary Action Against Sletten	No. 2450-W2-9411		11968
536 N.W.2d 354	1995-08-18	In re Disciplinary Action Against Moosbrugger	No. 2504-E-9504		11969
539 N.W.2d 67	1995-10-31	Matter of Estate of Zimbleman	Civ. No. 950056		12020
539 N.W.2d 73	1995-10-31	In Interest of JLD	Civ. No. 950029		12022
546 N.W.2d 361	1996-04-23	In Interest of EJH	Civil No. 950248		12163
546 N.W.2d 366	1996-04-23	City of Bismarck v. Stuart	Criminal No. 950383		12165
548 N.W.2d 372	1996-05-14	Disciplinary Action Against Laqua	Civ. No. 950406		12187
549 N.W.2d 196	1996-06-03	Disciplinary Action Against Madlom	960114-960119		12201
549 N.W.2d 671	1996-06-24	Disciplinary Action Against Orvick	950404		12204
551 N.W.2d 554	1996-06-27	Interest of Kg	Civil No. 950428		12231
551 N.W.2d 794	1996-07-24	Matter of Estate of Luken	Civil No. 960007		12242
552 N.W.2d 317	1996-06-27	In Interest of JAG	Criminal No. 960008		12245
554 N.W.2d 813	1996-10-22	Matter of Estate of Opatz	960109		12304
